Year,Subdivision,Cropland_pct,Grassland_pct,Forest_pct,Wetland_pct,Cropland_area,Grassland_area,Forest_area,Wetland_area,Biodiversity_Score
2000-01-01,1,48.42358998,22.44790823,17.9769513,11.151550489999998,4842.358998,2244.790823,1797.69513,1115.1550489999997,0.482539595
2001-01-01,1,51.33536248,22.96385289,17.74751423,7.953270400000001,5133.536248,2296.385289,1774.751423,795.3270400000001,0.463807634
2002-01-01,1,51.47915682,22.624337,17.70899942,8.187506759999998,5147.915682,2262.4337,1770.899942,818.7506759999998,0.463585384
2003-01-01,1,51.39275142,20.29983661,17.12994723,11.177464739999998,5139.275142,2029.983661,1712.994723,1117.7464739999998,0.468173765
2004-01-01,1,51.47501494,22.06384233,17.34440775,9.11673498,5147.501494,2206.384233,1734.440775,911.673498,0.464366633
2005-01-01,1,50.93031271,22.75294877,16.15643279,10.160305729999997,5093.031271,2275.294877,1615.643279,1016.0305729999998,0.465068659
2006-01-01,1,50.70495153,23.91069476,16.13054616,9.253807549999998,5070.495153,2391.069476,1613.054616,925.3807549999998,0.464079447
2007-01-01,1,51.66483762,20.75060586,16.7667398,10.81781672,5166.483762,2075.060586,1676.67398,1081.781672,0.465276502
2008-01-01,1,50.16196499,22.42277938,16.8207796,10.594476029999996,5016.196499,2242.277938,1682.07796,1059.4476029999996,0.471003431
2009-01-01,1,51.53798375,21.05422725,16.96499215,10.442796849999997,5153.798375,2105.422725,1696.499215,1044.2796849999997,0.465628635
2010-01-01,1,52.40427269,22.14519657,15.04447879,10.406051950000002,5240.427269,2214.519657,1504.447879,1040.605195,
2011-01-01,1,51.89416397,20.58348316,16.84571284,10.676640029999998,5189.416397,2058.348316,1684.571284,1067.6640029999999,0.464313763
2012-01-01,1,52.06012254,22.32536442,14.17132105,11.443191989999999,5206.012254,2232.536442,1417.132105,1144.3191989999998,0.457159857
2013-01-01,1,53.24524964,20.32861702,15.46860142,10.957531920000003,5324.524964,2032.861702,1546.860142,1095.7531920000004,0.45533987
2014-01-01,1,52.97188701,22.90385202,14.19258854,9.931672429999999,5297.188701,2290.385202,1419.258854,993.1672429999999,0.450553562
2015-01-01,1,52.91799303,20.94728375,14.7384573,11.396265920000001,5291.799303,2094.728375,1473.84573,1139.626592,0.455335932
2016-01-01,1,51.96976931,21.73693191,14.18783975,12.105459030000004,5196.976931,2173.693191,1418.783975,1210.5459030000004,0.45889536
2017-01-01,1,51.65820633,23.65570793,14.70948539,9.976600350000004,5165.820633,2365.570793,1470.948539,997.6600350000003,0.457448832
2018-01-01,1,52.21938503,21.8776494,13.9676155,11.935350070000002,5221.938503,2187.76494,1396.76155,1193.5350070000002,0.456896006
2019-01-01,1,55.06584806,21.58755031,13.26780519,10.078796439999998,5506.584806,2158.755031,1326.780519,1007.8796439999998,0.439697616
2020-01-01,1,53.73817165,22.05204349,13.77100332,10.438781540000003,5373.817165,2205.204349,1377.100332,1043.8781540000002,0.447237886
2000-01-01,2,,27.3269522,12.44065105,,,2732.69522,1244.065105,,0.450370876
2001-01-01,2,,25.33491647,13.60089709,,,2533.491647,1360.089709,,0.45738277
2002-01-01,2,,27.19019464,11.68088756,,,2719.019464,1168.088756,,0.445809757
2003-01-01,2,,25.12345495,12.48197089,,,2512.345495,1248.197089,,0.469027898
2004-01-01,2,,26.27510438,12.59856967,,,2627.510438,1259.856967,,0.457913479
2005-01-01,2,,27.119793,10.59156664,,,2711.9793,1059.156664,,0.443666893
2006-01-01,2,,26.4314394,13.0012599,,,2643.14394,1300.12599,,0.446318904
2007-01-01,2,,24.76539369,9.432850573,,,2476.539369,943.2850573,,0.434062828
2008-01-01,2,,25.38844156,8.805830652,,,2538.844156,880.5830652,,0.43206329
2009-01-01,2,,26.45547445,9.451706874,,,2645.547445,945.1706874,,0.435849724
2010-01-01,2,,25.84678421,7.047485926,,,2584.678421,704.7485926,,
2011-01-01,2,,26.0557898,8.457970345,,,2605.57898,845.7970345,,0.439407793
2012-01-01,2,,25.57726849,7.813592037,,,2557.726849,781.3592037,,0.434569139
2013-01-01,2,,23.55526026,10.34052897,,,2355.526026,1034.052897,,0.449698184
2014-01-01,2,,24.74717737,9.891196518,,,2474.717737,989.1196518,,0.45428391
2015-01-01,2,,24.51532567,8.586297686,,,2451.532567,858.6297686,,0.436634899
2016-01-01,2,,25.59639895,5.141478989,,,2559.639895,514.1478989,,0.419339199
